Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
ARCLK,-2.197804566893231,2520.4585813333333,Tüketim,124.5999984741211,127.4000015258789
ARDYZ,-3.8220529775642142,171.22106026666668,Teknoloji,30.700000762939453,31.920000076293945
ARMGD,-1.569770033646959,297.94655573333335,Diğer,33.86000061035156,34.400001525878906
ASGYO,-2.7482222808592907,240.974336,Gayrimenkul,10.970000267028809,11.279999732971191
ASELS,-1.6052300815873495,12578.000076799999,Sanayi,82.75,84.0999984741211
ASTOR,-0.27778060347945605,3582.8198058666667,Sanayi,107.69999694824219,108.0
ATAKP,-3.3696744048183893,180.3984042666667,Temel Tüketim,39.0,40.36000061035156
ATATP,-3.838771705518249,202.70926506666666,Teknoloji,100.19999694824219,104.19999694824219
AVPGY,0.07999877929687499,834.0000085333334,Gayrimenkul,62.54999923706055,62.5
AYDEM,-2.4878059945455413,469.76498346666665,Kamu Hizmetleri,19.989999771118164,20.5
AYGAZ,-1.5625021055989081,1061.6387584,Kamu Hizmetleri,144.89999389648438,147.1999969482422
AZTEK,-3.768248960481496,136.20000426666667,Teknoloji,40.86000061035156,42.459999084472656
BALSU,-1.9384272225830068,637.5467007999999,Diğer,17.200000762939453,17.540000915527344
BASGZ,-1.6005535425749218,659.8666922666666,Kamu Hizmetleri,28.280000686645508,28.739999771118164
BTCIM,-2.3529389325310204,771.9000746666667,Hammadde,4.150000095367432,4.25
BSOKE,-0.38168083418982024,696.0000341333333,Hammadde,13.050000190734863,13.100000381469727
BERA,3.191483485483465,397.62237439999996,Sanayi,17.459999084472656,16.920000076293945
BJKAS,-2.412283659972019,177.99999146666667,İletişim,4.449999809265137,4.559999942779541
BIENY,-3.020567187365066,363.1660032,Sanayi,30.18000030517578,31.1200008392334
BIMAS,-4.299065420560748,10188.8,Temel Tüketim,512.0,535.0
BINBN,8.245444125110362,63.976665600000004,Diğer,112.9000015258789,104.30000305175781
BIOEN,-2.2514050145735034,260.50000213333334,Kamu Hizmetleri,15.630000114440918,15.989999771118164
BOBET,-2.6581115115397216,269.03999146666666,Hammadde,21.239999771118164,21.81999969482422
BORSK,-0.8482488390745098,168.32,Temel Tüketim,21.040000915527344,21.219999313354492
BORLS,1.7647058823529411,486.41832960000005,Sanayi,86.5,85.0
BRSAN,-1.1560693641618496,1818.2258688,Hammadde,384.75,389.25
BRYAT,-2.5446670276123444,1652.226048,Hammadde,1800.0,1847.0
BFREN,-0.7874015748031495,643.3706666666666,Tüketim,630.0,635.0
BRISA,-1.162787005786574,821.2732586666666,Tüketim,80.75,81.69999694824219
BUCIM,-2.06451416015625,379.49999786666666,Hammadde,7.590000152587891,7.75
CEMZY,-1.229505089142363,161.47000319999998,Diğer,12.050000190734863,12.199999809265137
CCOLA,-3.4090895133898402,4756.736136533334,Temel Tüketim,51.0,52.79999923706055
CVKMD,-0.5586613608986063,415.33330773333336,Hammadde,8.899999618530273,8.949999809265137
CWENE,-2.8539987377162084,589.9999914666666,Teknoloji,17.700000762939453,18.219999313354492
CANTE,-2.7397315080268676,331.3333248,Kamu Hizmetleri,1.4199999570846558,1.4600000381469727
CATES,-1.352189394672976,176.76398933333334,Kamu Hizmetleri,32.099998474121094,32.540000915527344
CLEBI,-5.017921146953405,1717.1999402666665,Sanayi,2120.0,2232.0
CIMSA,-5.615760540140086,1509.7936554666667,Hammadde,47.900001525878906,50.75
DAPGM,0.14286041259765625,619.2166229333333,Gayrimenkul,7.010000228881836,7.0
DSTKF,9.994974026338308,1216.6654634666668,Finans,109.5,99.55000305175781
DEVA,-2.9957182879202957,453.37640960000004,Sağlık,68.0,70.0999984741211
DOHOL,-3.6443147978763095,1141.3663744,Sanayi,13.220000267028809,13.720000267028809
ARASE,-3.0954398377884464,375.666688,Kamu Hizmetleri,45.08000183105469,46.52000045776367
DOAS,0.054145157102330296,1222.8524714666667,Tüketim,184.8000030517578,184.6999969482422
EBEBK,-4.501329184594845,288.5333333333333,Tüketim,54.099998474121094,56.650001525878906
ECZYT,-4.4479328772996976,639.1000405333333,Sanayi,182.60000610351562,191.10000610351562
EFORC,-0.5586613608986063,861.5199402666666,Temel Tüketim,71.19999694824219,71.5999984741211
EGEEN,-2.2556390977443606,955.4999978666667,Tüketim,9100.0,9310.0
ECILC,-1.6911400639908272,1009.1596458666667,Sağlık,44.18000030517578,44.939998626708984
EKGYO,-1.4234861676160309,1690.2171306666667,Gayrimenkul,13.850000381469727,14.050000190734863
ENJSA,-2.4691358024691357,2332.6132906666667,Kamu Hizmetleri,59.25,60.75
ENERY,-3.7433128899100097,1044.0000170666667,Kamu Hizmetleri,216.0,224.39999389648438
ENKAI,-4.5445880675687835,9500.496145066667,Sanayi,49.779998779296875,52.150001525878906
EREGL,-2.61096776945948,5014.522538666667,Hammadde,22.3799991607666,22.979999542236328
ESCAR,-2.5798491351283084,793.0000042666667,Sanayi,47.58000183105469,48.84000015258789
TEZOL,0.20000457763671872,334.0000256,Hammadde,20.040000915527344,20.0
EUREN,-3.0805602859486365,286.3000064,Sanayi,4.090000152587891,4.21999979019165
EUPWR,-2.559630717787751,736.9999701333334,Sanayi,33.5,34.380001068115234
FENER,-2.484973227553336,405.50000639999996,İletişim,48.65999984741211,49.900001525878906
FROTO,-1.4176663031624863,10574.088328533333,Tüketim,904.0,917.0
GWIND,-3.800140467300414,492.1199957333333,Kamu Hizmetleri,27.34000015258789,28.420000076293945
GSRAY,-1.041665696538963,341.99999146666664,İletişim,1.899999976158142,1.9199999570846558
GENIL,3.054543235085227,1417.0000042666666,Sağlık,141.6999969482422,137.5
GESAN,-3.524225810835161,738.7600213333334,Sanayi,48.18000030517578,49.939998626708984
GLYHO,-4.2553242511074245,321.7499818666667,Sanayi,4.949999809265137,5.170000076293945
GOKNR,-2.8880839081918044,251.0666752,Temel Tüketim,21.520000457763672,22.15999984741211
GOLTS,-4.353233830845771,230.69999786666668,Hammadde,384.5,402.0
GOZDE,-4.321521289440245,284.1299968,Finans,22.139999389648438,23.139999389648438
GRTHO,-2.555366235952475,953.3333504,Temel Tüketim,228.8000030517578,234.8000030517578
GUBRF,-2.167766258246937,2889.0999466666667,Hammadde,259.5,265.25
GLRMK,-0.1495863521370237,1435.5700394666667,Sanayi,133.5,133.6999969482422
GRSEL,0.1885014137606032,903.5500202666667,Sanayi,265.75,265.25
SAHOL,-0.9861932790452512,6920.371131733334,Finans,100.4000015258789,101.4000015258789
HLGYO,-3.260866466677246,320.1187498666667,Gayrimenkul,2.6700000762939453,2.759999990463257
HRKET,-2.66075833134939,252.864,Sanayi,65.8499984741211,67.6500015258789
HEKTS,-3.151859449720357,949.7800704,Hammadde,3.380000114440918,3.490000009536743
HTTBT,-2.3267386284728615,394.60000426666664,Teknoloji,39.459999084472656,40.400001525878906
ENTRA,1.201604210122088,466.16999253333336,Kamu Hizmetleri,7.579999923706055,7.489999771118164
INVEO,-1.7142840794154575,229.38837333333333,Finans,6.880000114440918,7.0
INVES,4.265873015873016,1642.1874346666668,Finans,262.75,252.0
IEYHO,-0.6011970811066598,179.74908586666666,Tüketim,9.920000076293945,9.979999542236328
INDES,-2.4327792395967536,190.49999359999998,Teknoloji,7.619999885559082,7.809999942779541
IPEKE,-5.0877219752261515,468.48075093333335,Hammadde,54.099998474121094,57.0
ISDMR,-2.1683017970925786,3663.6669269333333,Hammadde,37.900001525878906,38.7400016784668
ISFIN,0.0,262.28887893333336,Finans,12.100000381469727,12.100000381469727
ISGYO,0.0,569.1779072,Gayrimenkul,17.809999465942383,17.809999465942383
