Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
BARMA,-3.3799529654047413,145.0749952,Tüketim,16.579999923706055,17.15999984741211
BEGYO,1.0570864806181826,259.7133482666667,Gayrimenkul,9.5600004196167,9.460000038146973
BYDNR,-4.324328643375134,59.472,Tüketim,21.239999771118164,22.200000762939453
BAYRK,-1.8675717163622554,27.23825066666667,Tüketim,17.34000015258789,17.670000076293945
BRKSN,-2.755268625475562,24.96,Sanayi,24.0,24.68000030517578
BEYAZ,-0.41493933563011876,79.75000746666667,Sanayi,24.0,24.100000381469727
BLCYT,-2.349205622597346,51.266666666666666,Tüketim,15.380000114440918,15.75
BRKVY,-2.333066335220734,113.30666666666667,Finans,60.70000076293945,62.150001525878906
BIGEN,-4.8327179061566765,196.94933333333336,Diğer,10.239999771118164,10.760000228881836
BRLSM,-1.9667187869147518,96.768,Sanayi,12.960000038146973,13.220000267028809
BIZIM,-2.71659242781186,71.0872192,Tüketim,26.5,27.239999771118164
BMSTL,0.0,174.69999786666668,Hammadde,34.939998626708984,34.939998626708984
BOSSA,-2.6984138277322125,258.56546133333336,Tüketim,6.130000114440918,6.300000190734863
BULGS,9.934318619292597,119.61733973333334,Diğer,13.390000343322754,12.180000305175781
BURCE,0.30675550153091063,45.91080106666667,Sanayi,16.350000381469727,16.299999237060547
BVSAN,-2.506961025764686,131.6,Sanayi,105.0,107.69999694824219
BIGCH,2.5331729687973636,121.26667093333334,Tüketim,34.0,33.15999984741211
CRFSA,-2.568138929192902,395.8864213333333,Temel Tüketim,92.94999694824219,95.4000015258789
CEOEM,-9.657316577819472,42.53333333333334,Sanayi,29.0,32.099998474121094
CONSE,-2.2988484747559017,65.53499733333334,Kamu Hizmetleri,2.549999952316284,2.609999895095825
CGCAM,-3.5346063691680323,146.72,Hammadde,26.200000762939453,27.15999984741211
CELHA,-1.5484583726410377,66.37867946666667,Sanayi,19.709999084472656,20.020000457763672
CEMAS,-1.7006786171138801,70.89305173333334,Sanayi,2.890000104904175,2.940000057220459
CEMTS,-0.20898124061771792,159.16666880000002,Hammadde,9.550000190734863,9.569999694824219
CMBTN,-2.68630849220104,132.5139968,Hammadde,2246.0,2308.0
CUSAN,-3.063064332461509,51.1100032,Sanayi,21.520000457763672,22.200000762939453
DAGI,5.061081341844724,80.26666666666667,Tüketim,6.019999980926514,5.730000019073486
DARDL,-2.7600873330791553,89.47777706666666,Temel Tüketim,4.579999923706055,4.710000038146973
DGATE,-3.049258388859199,61.67346773333333,Teknoloji,62.0,63.95000076293945
DCTTR,-7.857141040620349,167.70000213333333,Finans,38.70000076293945,42.0
DMSAS,-5.142079086186414,46.733333333333334,Sanayi,7.010000228881836,7.389999866485596
DENGE,-2.5078420278882465,30.990321066666667,Finans,3.109999895095825,3.190000057220459
DZGYO,1.7567582806154423,100.4,Gayrimenkul,7.53000020980835,7.400000095367432
DERIM,-3.712162250335856,60.69600426666666,Tüketim,33.720001220703125,35.02000045776367
DERHL,1.761246054779163,136.78148266666665,Tüketim,20.799999237060547,20.440000534057617
DESA,-1.901556270680946,143.24334933333336,Tüketim,8.770000457763672,8.9399995803833
DESPC,0.5785979953452599,39.981666133333334,Teknoloji,52.150001525878906,51.849998474121094
DNISI,-1.4604817120255953,91.55200853333334,Hammadde,22.940000534057617,23.280000686645508
DITAS,-4.883081430603304,39.1849984,Tüketim,13.829999923706055,14.539999961853027
DMRGD,-1.6587680938234748,76.89949866666667,Temel Tüketim,12.449999809265137,12.65999984741211
DOCO,-2.563329312424608,2957.3073578666667,Sanayi,8077.5,8290.0
DOFER,-1.8867924528301887,48.31666773333333,Hammadde,26.0,26.5
DOBUR,0.0,147.8675456,İletişim,226.8000030517578,226.8000030517578
